[2020-07-10 15:20:17,439] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-07-10 15:21:10,241] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:21:10,249] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:21:10,369] [log.py:222] [log:log_response] [WARNING]- Unauthorized: /sys/api/auth/
[2020-07-10 15:21:10,558] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=menu HTTP/1.1" 403 31
[2020-07-10 15:21:10,560] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=button HTTP/1.1" 403 31
[2020-07-10 15:21:10,565] [basehttp.py:157] [basehttp:log_message] [WARNING]- "POST /sys/api/auth/ HTTP/1.1" 401 28
[2020-07-10 15:27:32,650] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:27:32,652] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:27:36,453] [log.py:222] [log:log_response] [WARNING]- Unauthorized: /sys/api/auth/
[2020-07-10 15:27:36,455] [basehttp.py:157] [basehttp:log_message] [WARNING]- "POST /sys/api/auth/ HTTP/1.1" 401 28
[2020-07-10 15:27:37,428] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:27:37,432] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:27:37,434] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=menu HTTP/1.1" 403 31
[2020-07-10 15:27:37,436] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=button HTTP/1.1" 403 31
[2020-07-10 15:28:36,439] [log.py:222] [log:log_response] [WARNING]- Unauthorized: /sys/api/auth/
[2020-07-10 15:28:36,440] [basehttp.py:157] [basehttp:log_message] [WARNING]- "POST /sys/api/auth/ HTTP/1.1" 401 28
[2020-07-10 15:29:01,049] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:29:01,061] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=button HTTP/1.1" 403 31
[2020-07-10 15:29:23,419] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:29:23,426] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=menu HTTP/1.1" 403 31
[2020-07-10 15:30:34,532] [log.py:222] [log:log_response] [WARNING]- Unauthorized: /sys/api/auth/
[2020-07-10 15:30:34,534] [basehttp.py:157] [basehttp:log_message] [WARNING]- "POST /sys/api/auth/ HTTP/1.1" 401 28
[2020-07-10 15:30:46,576] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-07-10 15:30:54,092] [log.py:222] [log:log_response] [WARNING]- Unauthorized: /sys/api/auth/
[2020-07-10 15:30:54,093] [basehttp.py:157] [basehttp:log_message] [WARNING]- "POST /sys/api/auth/ HTTP/1.1" 401 28
[2020-07-10 15:30:54,097] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:30:54,098] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=menu HTTP/1.1" 403 31
[2020-07-10 15:30:54,102] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:30:54,104] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=button HTTP/1.1" 403 31
[2020-07-10 15:32:37,260] [log.py:222] [log:log_response] [WARNING]- Unauthorized: /sys/api/auth/
[2020-07-10 15:32:37,263] [basehttp.py:157] [basehttp:log_message] [WARNING]- "POST /sys/api/auth/ HTTP/1.1" 401 28
[2020-07-10 15:32:37,274] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:32:37,276] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:32:37,277] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=button HTTP/1.1" 403 31
[2020-07-10 15:32:37,278] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=menu HTTP/1.1" 403 31
[2020-07-10 15:34:35,764] [log.py:222] [log:log_response] [WARNING]- Unauthorized: /sys/api/auth/
[2020-07-10 15:34:35,766] [basehttp.py:157] [basehttp:log_message] [WARNING]- "POST /sys/api/auth/ HTTP/1.1" 401 28
[2020-07-10 15:34:35,796] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:34:35,797] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=menu HTTP/1.1" 403 31
[2020-07-10 15:34:35,807] [log.py:222] [log:log_response] [WARNING]- Forbidden: /sys/api/user/role/
[2020-07-10 15:34:35,808] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /sys/api/user/role/?username=gzc&application=automation&type=button HTTP/1.1" 403 31
