[2020-12-30 15:38:14,264] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-12-30 15:38:44,070] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/count HTTP/1.1" 301 0
[2020-12-30 15:38:44,072] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/alarm_detail/alarm_count HTTP/1.1" 301 0
[2020-12-30 15:38:44,601] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/count/ HTTP/1.1" 200 104
[2020-12-30 15:38:45,023] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/analysis/history/?m=MEM_PERCENT HTTP/1.1" 200 2
[2020-12-30 15:38:45,407] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/analysis/history/?m=CPU_PERCENT HTTP/1.1" 200 2
[2020-12-30 15:38:47,741] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/alarm_detail/alarm_count/ HTTP/1.1" 200 4245
[2020-12-30 15:38:48,214] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/analysis/?type=cpu_percent&num=3 HTTP/1.1" 200 659
[2020-12-30 15:38:48,264] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/analysis/?type=mem_percent&num=3 HTTP/1.1" 200 647
[2020-12-30 15:38:49,227] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/alarm_detail/alarm_count/ HTTP/1.1" 200 4245
[2020-12-30 15:40:59,360] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/analysis/?type=cpu_percent&num=3 HTTP/1.1" 200 659
[2020-12-30 15:40:59,393] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/analysis/?type=mem_percent&num=3 HTTP/1.1" 200 647
[2020-12-30 15:40:59,833] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/alarm_detail/alarm_count/ HTTP/1.1" 200 4245
[2020-12-30 15:41:02,727] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/?middleware_type=WEBLOGIC&current_page=1&pre_page=1 HTTP/1.1" 200 72
[2020-12-30 15:41:05,900] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search?middleware_type=WEBLOGIC&query=10 HTTP/1.1" 301 0
[2020-12-30 15:41:05,967] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search/?middleware_type=WEBLOGIC&query=10 HTTP/1.1" 200 2
[2020-12-30 15:41:08,157] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search?middleware_type=WEBLOGIC&query=10.1 HTTP/1.1" 301 0
[2020-12-30 15:41:08,309] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search/?middleware_type=WEBLOGIC&query=10.1 HTTP/1.1" 200 2
[2020-12-30 15:41:08,722] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search?middleware_type=WEBLOGIC&query=10.10 HTTP/1.1" 301 0
[2020-12-30 15:41:08,797] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search/?middleware_type=WEBLOGIC&query=10.10 HTTP/1.1" 200 2
[2020-12-30 15:41:10,421] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search?middleware_type=WEBLOGIC&query=10.10.10 HTTP/1.1" 301 0
[2020-12-30 15:41:10,645] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search/?middleware_type=WEBLOGIC&query=10.10.10 HTTP/1.1" 200 2
[2020-12-30 15:41:11,822] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search?middleware_type=WEBLOGIC&query=10.10.10. HTTP/1.1" 301 0
[2020-12-30 15:41:11,927] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search/?middleware_type=WEBLOGIC&query=10.10.10. HTTP/1.1" 200 2
[2020-12-30 15:41:12,746] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search?middleware_type=WEBLOGIC&query=10.10.10.130 HTTP/1.1" 301 0
[2020-12-30 15:41:12,830] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search/?middleware_type=WEBLOGIC&query=10.10.10.130 HTTP/1.1" 200 2
[2020-12-30 15:41:22,549] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search?middleware_type=WEBLOGIC&query=1 HTTP/1.1" 301 0
[2020-12-30 15:41:22,617] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search/?middleware_type=WEBLOGIC&query=1 HTTP/1.1" 200 2
[2020-12-30 15:41:23,257] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search/?middleware_type=WEBLOGIC&query=10 HTTP/1.1" 200 2
[2020-12-30 15:41:39,238] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search/?middleware_type=WEBLOGIC&query=1 HTTP/1.1" 200 2
[2020-12-30 15:41:39,813] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/search/?middleware_type=WEBLOGIC&query=10 HTTP/1.1" 200 2
