[2020-08-18 09:29:59,882] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-08-18 09:37:11,601] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628231&end=1597714631&m=sum:mem_percent HTTP/1.1" 200 25813
[2020-08-18 09:37:11,603] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628231&end=1597714631&m=sum:cpu_user HTTP/1.1" 200 24379
[2020-08-18 09:37:11,618] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628231&end=1597714631&m=sum:cpu_percent HTTP/1.1" 200 24403
[2020-08-18 09:37:11,619] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628231&end=1597714631&m=sum:cpu_system HTTP/1.1" 200 24379
[2020-08-18 09:37:11,623] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628231&end=1597714631&m=sum:swap_percent HTTP/1.1" 200 25813
[2020-08-18 09:37:11,648] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628231&end=1597714631&m=sum:iowait HTTP/1.1" 200 24379
[2020-08-18 09:37:11,758] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2683
[2020-08-18 09:37:14,914] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/monitor/?middleware_name=REDIS_10.10.10.130_6379 HTTP/1.1" 200 5056
[2020-08-18 09:37:20,704] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2683
[2020-08-18 09:37:20,805] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628240&end=1597714640&m=sum:cpu_user HTTP/1.1" 200 24379
[2020-08-18 09:37:20,814] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628240&end=1597714640&m=sum:cpu_percent HTTP/1.1" 200 24403
[2020-08-18 09:37:20,820] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628240&end=1597714640&m=sum:mem_percent HTTP/1.1" 200 25813
[2020-08-18 09:37:20,820] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628240&end=1597714640&m=sum:cpu_system HTTP/1.1" 200 24379
[2020-08-18 09:37:20,830] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628240&end=1597714640&m=sum:swap_percent HTTP/1.1" 200 25813
[2020-08-18 09:37:20,835] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628240&end=1597714640&m=sum:iowait HTTP/1.1" 200 24379
[2020-08-18 09:38:16,012] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/middleware/monitor/?middleware_name=REDIS_10.10.10.130_6379 HTTP/1.1" 200 5056
[2020-08-18 09:38:17,760] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2683
[2020-08-18 09:38:17,855] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628297&end=1597714697&m=sum:cpu_percent HTTP/1.1" 200 24402
[2020-08-18 09:38:17,888] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628297&end=1597714697&m=sum:mem_percent HTTP/1.1" 200 25813
[2020-08-18 09:38:17,888] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628297&end=1597714697&m=sum:swap_percent HTTP/1.1" 200 25813
[2020-08-18 09:38:17,889] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628297&end=1597714697&m=sum:iowait HTTP/1.1" 200 24379
[2020-08-18 09:38:17,890] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628297&end=1597714697&m=sum:cpu_system HTTP/1.1" 200 24379
[2020-08-18 09:38:17,890] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/history/?start=1597628297&end=1597714697&m=sum:cpu_user HTTP/1.1" 200 24379
[2020-08-18 09:41:18,565] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2682
[2020-08-18 09:44:18,557] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2683
[2020-08-18 09:47:18,570] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2683
[2020-08-18 09:50:18,575] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2683
[2020-08-18 09:53:18,559] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2683
[2020-08-18 09:56:18,572] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2683
[2020-08-18 09:59:18,572] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2683
[2020-08-18 10:02:18,573] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2683
[2020-08-18 10:05:18,566] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2682
[2020-08-18 10:08:18,553] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2682
[2020-08-18 10:11:18,570] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2682
[2020-08-18 10:14:18,572] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2683
[2020-08-18 10:17:18,572] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /monitor/api/server_monitor/monitor/?server_name=SERVER_10.10.10.130_wangweichao-rhel74-10130 HTTP/1.1" 200 2681
